,This is public NIH award data requested using the NIH RePORTER API on 3/13/25. ,,
,appl_id,project_serial_num,fiscal_year
505,10878544,CA283548,2024
506,10779151,CA285980,2024
507,10802728,CA278941,2024
508,10837449,CA288207,2024
509,10797552,CA281044,2024
510,10852358,CA288526,2024
511,10890438,CA279323,2024
512,10878244,CA283207,2024
513,10804145,CA274251,2024
514,10855419,CA288849,2024
515,10859373,CA289731,2024
516,10826660,CA284747,2024
517,10878461,CA282766,2024
518,10880864,CA282437,2024
519,10863581,CA282198,2024
520,10864893,CA278783,2024
521,10797346,CA278212,2024
522,10772406,CA285304,2024
523,10802676,CA276349,2024
524,10800095,CA278818,2024
525,10803433,CA280815,2024
526,10802231,CA279808,2024
527,10858973,CA289485,2024
528,10864132,CA280999,2024
529,10851467,CA288546,2024
530,10853227,CA288880,2024
531,10881526,CA283569,2024
532,10993297,CA282812,2024
533,10993899,CA245083,2024
534,10992383,CA261638,2024
535,11220153,CA278818,2024
536,10979110,CA256989,2024
537,10797282,CA287294,2024
538,10855441,CA289013,2024
539,10853578,CA288379,2024
540,10860017,CA289703,2024
541,10878552,CA281984,2024
542,10878091,CA283547,2024
543,10882501,CA262556,2024
544,10889806,CA282900,2024
545,10801300,CA280135,2024
546,10993838,CA263806,2024
547,10858748,CA289500,2024
548,10853829,CA289041,2024
549,11126940,CA282766,2024
550,10802475,CA279993,2024
551,10778010,CA285997,2024
552,10895677,CA284532,2024
553,10986599,CA276108,2024
554,10990707,CA283578,2024
555,10993894,CA272702,2024
556,10992459,CA268518,2024
557,10994015,CA267721,2024
558,10803593,CA276053,2024
559,10801100,CA279414,2024
560,10881185,CA279378,2024
561,10856968,CA289258,2024
562,10881545,CA276470,2024
563,10823417,CA273732,2024
564,10779400,CA285965,2024
565,10905826,CA284585,2024
566,10776828,CA285730,2024
567,10852020,CA285331,2024
568,11069045,CA285331,2024
569,10803487,CA279707,2024
570,10812048,CA279195,2024
571,10775190,CA285790,2024
572,10803596,CA278832,2024
573,11021588,CA254035,2024
574,10811869,CA280746,2024
575,10825995,CA287866,2024
576,10792701,CA287261,2024
577,10801350,CA279010,2024
578,10780073,CA286920,2024
579,10770655,CA285321,2024
580,10798856,CA279746,2024
581,10781304,CA286998,2024
582,10807818,CA280482,2024
583,10823951,CA287625,2024
584,10826126,CA288145,2024
585,10882067,CA278852,2024
586,10876786,CA282436,2024
587,10773747,CA285456,2024
588,10803280,CA279968,2024
589,10859508,CA290231,2024
590,10839116,CA285227,2024
591,10879905,CA278995,2024
592,10801018,CA275910,2024
593,10802867,CA279249,2024
594,10800462,CA279849,2024
595,10812299,CA279952,2024
596,10801113,CA279749,2024
597,10793989,CA196643,2024
598,10817419,CA287474,2024
599,10796098,CA279220,2024
600,10774510,CA285513,2024
601,10803125,CA276408,2024
602,10802770,CA279391,2024
603,10826683,CA287786,2024
604,10812635,CA279108,2024
605,10802907,CA280560,2024
606,10774867,CA285335,2024
607,10773768,CA285366,2024
608,10797577,CA278938,2024
609,10798972,CA276107,2024
610,10800511,CA278967,2024
611,10804260,CA280071,2024
612,10812789,CA279681,2024
613,10775244,CA285786,2024
614,10775050,CA285621,2024
615,10764129,CA285209,2024
616,10778116,CA285867,2024
617,10807991,CA279034,2024
618,10801396,CA279698,2024
619,10798426,CA278976,2024
620,10777149,CA286017,2024
621,10775599,CA285774,2024
622,10777626,CA285692,2024
623,10804084,CA280720,2024
624,10801289,CA279171,2024
625,10797456,CA278980,2024
626,10804119,CA279813,2024
627,11229645,CA285621,2024
628,10799833,CA278971,2024
629,10822088,CA287573,2024
630,10802000,CA279328,2024
631,10777086,CA285713,2024
632,10799864,CA279452,2024
633,10803036,CA279810,2024
634,10803727,CA262562,2024
635,10802520,CA279364,2024
636,10800186,CA279134,2024
637,10771589,CA285272,2024
638,11064431,CA279997,2024
639,10801387,CA276500,2024
640,10812795,CA279997,2024
641,10780788,CA286128,2024
642,10801628,CA280970,2024
643,10826907,CA281207,2024
644,11060729,CA285468,2024
645,10773355,CA285468,2024
646,10775061,CA285620,2024
647,10779945,CA286160,2024
648,10799434,CA279595,2024
649,10801585,CA280075,2024
650,10780794,CA286127,2024
651,10788977,CA287184,2024
652,10796117,CA279546,2024
653,10803606,CA279666,2024
654,10797517,CA276135,2024
655,10908927,CA243085,2023
656,10831221,CA256481,2023
657,10799847,CA266216,2024
658,10799814,CA278898,2024
659,10793036,CA278756,2024
660,10824658,CA281148,2024
661,10802082,CA279117,2024
662,10946894,CA248112,2023
663,10814278,CA248112,2024
664,10925151,CA200994,2024
665,10930779,CA200994,2023
666,10804468,CA281285,2023
667,10933484,CA281285,2024
668,10801150,CA276079,2023
669,11131347,CA276942,2024
670,10933513,CA276079,2024
671,10933506,CA276942,2024
672,10803696,CA276942,2023
673,10932183,CA283402,2024
674,10733849,CA284073,2023
675,10801348,CA280389,2023
676,10720201,CA283603,2023
677,10933005,CA280060,2024
678,10932982,CA276732,2024
679,10932989,CA271602,2024
680,10773991,CA285446,2023
681,10780289,CA286507,2023
682,10803020,CA276732,2023
683,10801058,CA279175,2023
684,10932926,CA278197,2024
685,10932898,CA286507,2024
686,10932972,CA285446,2024
687,10932978,CA279175,2024
688,10932998,CA280389,2024
689,10932953,CA274450,2024
690,10932893,CA283603,2024
691,10932927,CA276266,2024
692,10735164,CA276266,2023
693,10736526,CA274450,2023
694,10802975,CA280060,2023
695,10801375,CA280619,2023
696,10826124,CA271602,2023
697,10754178,CA278197,2023
698,10636199,CA279342,2023
699,10715329,CA283402,2023
700,10932842,CA279342,2024
701,10932925,CA284073,2024
702,10932984,CA280619,2024
703,10932291,CA287260,2024
704,10931634,CA272426,2024
705,10734712,CA276826,2023
706,10800231,CA280085,2023
707,10800129,CA280359,2023
708,10792732,CA287260,2023
709,10714125,CA282242,2023
710,10932365,CA280359,2024
711,10932148,CA281861,2024
712,10932213,CA286652,2024
713,10932410,CA280085,2024
714,10932128,CA281948,2024
715,10932379,CA284687,2024
716,10802050,CA272426,2023
717,10798949,CA279455,2023
718,10780163,CA286652,2023
719,10714371,CA281861,2023
720,10712300,CA281948,2023
721,10826067,CA284687,2023
722,10932197,CA276826,2024
723,10932164,CA282242,2024
724,10932407,CA279455,2024
725,10931357,CA272668,2024
726,10931342,CA276414,2024
727,10931588,CA278833,2024
728,10931370,CA281727,2024
729,10931667,CA282725,2024
730,10754783,CA284623,2023
731,10804464,CA280056,2023
732,10567672,CA276414,2023
733,10718886,CA282424,2023
734,10657936,CA272668,2023
735,10749761,CA284531,2023
736,10801033,CA279457,2023
737,10773306,CA285308,2023
738,10743942,CA284247,2023
739,10711794,CA281752,2023
740,10517858,CA265827,2023
741,10718278,CA283068,2023
742,10931616,CA284531,2024
743,10931755,CA284623,2024
744,10931641,CA285519,2024
745,10931676,CA286717,2024
746,10931584,CA281098,2024
747,10931580,CA284740,2024
748,10931507,CA284247,2024
