"This data is provided to meet the data availability requirements for a scientific publication. Data is derived from NIH's internal datasets and from Digital Science's Dimensions Platform. Data from Digital Science is based on metadata as of March 2024 from Digital Science's Dimensions platform, available at https://app.dimensions.ai/. Access was granted under license agreement with the National Cancer Institute. Researchers interested in exploring the data further should visit the Dimensions platform website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppid,researcher_ids,n_pubs,n_nci_funded_pubs,n_nci_funded_projs,nci_role,qual_nci_appl_ids,qual_nci_projs,collab_nci_funded_only,moonshot_pi,min_moonshot_fy,moonshot_projects,med_authors_overall,avg_authors_overall,nci_pub_avg_authors,msfunded_pub_avg_authors,collab_types,n_collab_pubs,n_collab_projs,n_network_collaborators,n_network_coauthors,n_network_copis,n_ms_network_collaborators,n_ms_network_coauthors,n_ms_network_copis,n_collab_nci_docs,n_collab_nci_funded_pubs,n_collab_nci_funded_projs,n_collab_ms_docs,n_collab_msfunded_pubs,n_collab_msfunded_projs,collab_ms_funded_only,collab_post_ms
6421828,ur.014133655337.21; ur.01140007205.17; ur.01246643072.14,228,104,9,project_pi,9326236; 9329292; 9459474; 9548167; 9552742; 9598145; 9772842,U01CA187945; U01CA199218,n,n,,,15,17.2,21.3,,Multiple,196,9,202,185,33,,,,97,88,9,,,,,
1865649,ur.0607410070.77,165,107,11,project_pi,10004508; 10228657; 10286757; 10286759; 10375656; 10482365; 10482367; 10487340; 10519072; 10519074; 10602911; 9249908; 9272840; 9369719; 9379369; 9406725; 9457367; 9460472; 9568744; 9617730; 9617762; 9673093; 9675229; 9737403; 9737431; 9757191; 9761849; 9784322; 9842516; 9842518; 9842519; 9902346,P01CA091955; P20CA252732; P30CA015704; R01CA194663; R01CA220004; U01CA152756; U2CCA271902; U54CA274374,n,n,,,11,16.6,19.4,,Multiple,134,8,193,181,26,,,,99,91,8,,,,,
1898900,ur.014612650514.15; ur.0756663044.46,696,605,11,project_pi,10001968; 10003165; 10091327; 10152550; 10166376; 10245003; 10304526; 10398037; 10492506; 10523441; 10602907; 9357531; 9385642; 9450446; 9544102; 9567089; 9600321; 9669217; 9716567; 9759779; 9763541; 9872370; 9926816; 9976642,R01CA201407; R01CA258179; U01CA164973; U01CA167551,n,n,,,21,50,55.7,,Multiple,682,11,469,468,29,,,,611,601,10,,,,,
1901927,ur.015206610774.17; ur.013147730317.11,159,94,8,project_pi,10020327; 10020344; 10116302; 10119142; 10143201; 10225483; 10225496; 10307137; 10317805; 10381390; 10381689; 10428647; 10449381; 10449385; 10524067; 9206484; 9437717; 9650560; 9749570; 9790509; 9869700; 9913482,P01CA118816; R01CA183071; R01CA214554; R01CA238379; R01CA256740; U01CA232320,n,n,,,11,11.2,11.5,,Multiple,152,12,51,50,14,,,,100,92,8,,,,,
10253790,ur.0601674532.75,369,97,9,project_pi,10071105; 10072505; 10107785; 10157567; 10176428; 10224926; 10226106; 10330010; 10334198; 10334201; 10364663; 10397617; 10425326; 10454960; 9275931; 9488424; 9637290; 9693685; 9818324; 9832190; 9975772,P01CA257907; R01CA188298; R01CA233578; R01CA233975; R01CA244526; R01CA254179; R01CA257655,n,n,,,12,13.4,16.7,,Multiple,359,8,148,147,9,,,,102,94,8,,,,,
1940040,ur.01362073334.54,204,114,14,project_pi,10083195; 10086065; 10098027; 10169278; 10199951; 10239095; 10320941; 10328880; 10406953; 10472563; 10530990; 10739555; 9240519; 9359224; 9363115; 9419273; 9421529; 9546676; 9567117; 9568992; 9625809; 9626901; 9767561; 9773937; 9778724; 9785422; 9857569; 9863752; 9965776; 9988214; 9999433,P01CA217959; P30CA082103; P50CA097257; R01CA159859; R01CA221969; R01CA255369; U01CA217864,n,n,,,13,25.6,36.5,,Multiple,167,15,278,264,41,,,,105,95,10,,,,,
7647769,ur.01327101260.56,181,118,16,project_pi,10076801; 10153723; 10169373; 10170292; 10171812; 10321638; 10339742; 10402273; 10406918; 10408047; 10462192; 9189686; 9207119; 9265041; 9268636; 9302310; 9307135; 9337388; 9398105; 9455464; 9477509; 9492555; 9492558; 9524795; 9613147; 9670272; 9671371; 9688193; 9689419; 9703512; 9720840; 9735153; 9815962; 9920686; 9920691; 9922231; 9952336; 9971242; 9991816,P01CA229086; R01CA133379; R01CA169784; R01CA173636; R01CA194923; R01CA202025; R01CA202027; R01CA216421; R01CA228135; R01CA242020; R01CA266212; R01CA271455,n,n,,,14,19.6,15.9,,Multiple,135,11,205,202,15,,,,106,96,10,,,,,
8656295,ur.0706673513.13,259,113,10,project_pi,10026306; 10132734; 10539159; 10689561; 9332016; 9415489; 9428994; 9469497; 9671773; 9905394,R01CA213645; R61CA278594; U54CA163262; UM1CA221939,n,n,,,11,11.3,10.3,,Multiple,207,8,109,85,32,,,,107,99,8,,,,,
6174989,ur.01115130607.09,879,374,14,project_pi,10084828; 10089995; 10251287; 9197273; 9238499; 9248952; 9259981; 9263413; 9333285; 9359451; 9379105; 9390874; 9402059; 9427979; 9452913; 9552104; 9626898; 9632737; 9632766; 9675237; 9704281; 9757245; 9757273; 9784744; 9843882; 9850539; 9996536,P30CA016058; R01CA162411; R01CA177292; R01CA183444; R01CA192928; R01CA214046; R35CA197734,n,n,,,14,14.7,16.4,,Multiple,786,13,252,242,34,,,,363,350,13,,,,,
1974298,ur.0727657075.71,171,109,12,project_pi,10002208; 10112849; 10131156; 10149963; 10161750; 10217050; 10330116; 10337608; 10357854; 10360496; 10372682; 10451562; 9265064; 9277766; 9462634; 9477630; 9657918; 9662659; 9687679; 9709814; 9710911; 9822504; 9870904; 9878078; 9891988; 9893826,R01CA196018; R01CA238023; R01CA238042; R33CA225549; U01CA210152; U24CA237683,n,n,,,7,7,8.8,,Multiple,117,9,72,72,9,,,,109,100,9,,,,,
1883893,ur.016271521517.82; ur.011756771717.80,160,114,14,project_pi,10003214; 10020923; 10069926; 10137355; 10202500; 10246991; 10260543; 10428568; 10461832; 10484311; 10521072; 10601364; 10601444; 10601453; 9267345; 9330806; 9332349; 9373666; 9477629; 9540842; 9571245; 9632476; 9762862; 9787321; 9820475,R01CA183570; R01CA192402; R01CA242735; R35CA274442; U01CA199338; U01CA253915; U24CA086368; U54CA132381; UG3CA218909; UH3CA218909,n,n,,,6,8.1,7.7,,Multiple,125,9,108,93,24,,,,111,102,9,,,,,
9487846,ur.0643612200.16,264,131,9,project_pi,10000059; 10021248; 10106595; 10134473; 10218124; 10273639; 10297157; 10394194; 10449328; 10454356; 10491218; 9180688; 9263901; 9263908; 9274933; 9328021; 9377534; 9477499; 9477504; 9533515; 9697776; 9697779; 9752996; 9828277; 9855791; 9976486,P01CA174653; R01CA179044; R01CA185486; R35CA253126; U01CA243073; U01CA261822; U54CA193313; U54CA209997,n,n,,,13,17.7,21.3,,Multiple,193,9,209,208,12,,,,113,105,8,,,,,
6691168,ur.014103757224.31,166,137,12,project_pi,10084552; 10084558; 10089814; 10115683; 10133016; 10149969; 10238155; 10238161; 10320875; 10334549; 10398014; 10398815; 10428019; 10434858; 10434864; 10495573; 10548401; 10623831; 9334119; 9337384; 9359353; 9512716; 9526894; 9540264; 9564363; 9677640; 9718119; 9718132; 9745534; 9765479; 9896795; 9929427; 9978721; 9986674; 9986685; 9987859,P01CA019014; P20CA210285; P30CA016086; R01CA163217; R01CA228172; R01CA239583; R01CA250080; U54CA254564,n,n,,,8,10.2,10.4,,Multiple,122,11,92,77,33,,,,114,105,9,,,,,
6671108,ur.01115614466.77; ur.01336750727.45,313,139,12,project_pi,10112195; 10152527; 10234041; 10234050; 10380438; 10406245; 10468760; 10468767; 10519256; 9319928; 9442726; 9518340; 9567742; 9567749; 9659288; 9701178; 9756680; 9766195; 9766214; 9902357; 9927053; 9929558; 9988367; 9988375,P50CA121974; R01CA216846; R01CA227473,n,n,,,12,14,13,,Multiple,235,9,172,162,27,,,,115,106,9,,,,,
9812109,ur.01125020351.93,179,113,9,project_pi,10071690; 10091976; 10171569; 10186715; 10220449; 10335127; 10391553; 10404988; 10413022; 9442495; 9607581; 9659779; 9851869; 9973785,R01CA228156; R01CA241125; R01CA247281; R03CA223730; UG3CA260602,n,n,,,12,14.3,15.8,,Multiple,175,8,174,174,12,,,,120,112,8,,,,,
1894031,ur.0754265611.93; ur.013741521234.75; ur.016200156034.40,154,124,11,project_pi,10062883; 10094203; 10274351; 10296883; 10308491; 10436140; 10486091; 10524083; 9326263; 9329386; 9335308; 9335809; 9445843; 9557524; 9629676; 9859362; 9859369; 9905136,P20CA192991; P20CA192993; R01CA207442; R01CA214427; R01CA255522; R21CA202793,n,n,,,8,9.9,9.5,,Multiple,133,10,122,117,11,,,,123,113,10,,,,,
6603731,ur.01212564200.79; ur.016652653540.52; ur.014341000423.39,166,123,10,project_pi,10044047; 10044049; 10122916; 10136541; 10244961; 10244963; 10301696; 10362731; 10375663; 10380156; 10466935; 10466937; 10485810; 10601404; 10601406; 10609257; 9263899; 9269524; 9317195; 9331517; 9354407; 9379094; 9428890; 9451224; 9458140; 9478138; 9542751; 9666881; 9672323; 9675232; 9685164; 9691216; 9709067; 9771381; 9829884; 9898340; 9920678; 9934147; 9989790,P20CA252733; R01CA189184; R01CA192438; R01CA207371; U01CA152637; U01CA206110; U24CA221936,n,n,,,9,21.7,25.8,,Multiple,154,10,273,266,24,,,,126,117,9,,,,,
1877927,ur.01161237315.89,344,135,8,project_pi,9271935; 9279074; 9337374; 9539702; 9782719,P01CA142106; R01CA183559; R01CA183560,n,n,,,15,15.7,18.2,,Multiple,287,10,193,154,67,,,,131,123,8,,,,,
3167353,ur.0657055157.52,331,176,11,project_pi,10124296; 10601202; 9276322; 9454331; 9665685; 9883629,U24CA163056,n,n,,,9,20.5,27.4,,Multiple,217,9,294,274,53,,,,136,127,9,,,,,
6266132,ur.0650406354.40,321,145,11,project_pi,10007616; 10190862; 10204908; 10212734; 10391549; 10443640; 10512325; 9301504; WITHHELDAPPL99; 9571319; WITHHELDAPPL54; 9751224; 9768703; 9771924; 9771953; 9789586; 9808284; 9975825; 9997338,P30CA060553; P30CA240139; R01CA206456; R61CA263335; UG3CA260317,n,n,,,11,10.8,10.5,,Multiple,235,9,130,106,33,,,,138,129,9,,,,,
